iso3;fips
AFG;AF
ALB;AL
DZA;AG
ASM;AQ
AND;AN
AGO;AO
AIA;AV
ATA;AY
ATG;AC
ARG;AR
ARM;AM
ABW;AA
AUS;AS
AUT;AU
AZE;AJ
BHS;BF
BHR;BA
BGD;BG
BRB;BB
BLR;BO
BEL;BE
BLZ;BH
BEN;BN
BMU;BD
BTN;BT
BOL;BL
BIH;BK
BWA;BC
BRA;BR
VGB;VG
BRN;BX
BGR;BU
BFA;UV
BDI;BY
KHM;CB
CMR;CM
CAN;CA
CPV;CV
CYM;CJ
CAF;CT
TCD;CD
CHL;CI
CHN;CH
CXR;KT
CCK;CK
COL;CO
COM;CN
COD;CG
COG;CF
COK;CW
CRI;CS
CIV;IV
HRV;HR
CUB;CU
CYP;CY
CZE;EZ
DNK;DA
DJI;DJ
DMA;DO
DOM;DR
ECU;EC
EGY;EG
SLV;ES
GNQ;EK
ERI;ER
EST;EN
ETH;ET
FLK;FK
FRO;FO
FJI;FJ
FIN;FI
FRA;FR
GUF;FG
PYF;FP
ATF;FS
GAB;GB
GMB;GA
GEO;GG
DEU;GM
GHA;GH
GIB;GI
GRC;GR
GRL;GL
GRD;GJ
GLP;GP
GUM;GQ
GTM;GT
GIN;GV
GNB;PU
GUY;GY
HTI;HA
VAT;VT
HND;HO
HKG;HK
HUN;HU
ISL;IC
IND;IN
IDN;ID
IRN;IR
IRQ;IZ
IRL;EI
ISR;IS
ITA;IT
JAM;JM
JPN;JA
JOR;JO
KAZ;KZ
KEN;KE
KIR;KR
PRK;KN
KOR;KS
KWT;KU
KGZ;KG
LAO;LA
LVA;LG
LBN;LE
LSO;LT
LBR;LI
LBY;LY
LIE;LS
LTU;LH
LUX;LU
MAC;MC
MKD;MK
MDG;MA
MWI;MI
MYS;MY
MDV;MV
MLI;ML
MLT;MT
MHL;RM
MTQ;MB
MRT;MR
MUS;MP
MYT;MF
MEX;MX
FSM;FM
MDA;MD
MCO;MN
MNG;MG
MNE;MW
MSR;MJ
MAR;MO
MOZ;MZ
MMR;BM
NAM;WA
NRU;NR
NPL;NP
NLD;NL
ANT;NT
NCL;NC
NZL;NZ
NIC;NU
NER;NG
NGA;NI
NIU;NE
NFK;NF
MNP;CQ
NOR;NO
OMN;MU
PAK;PK
PLW;PS
PSE;GZ
PAN;PM
PNG;PP
PRY;PA
PER;PE
PHL;RP
PCN;PC
POL;PL
PRT;PO
PRI;RQ
QAT;QA
REU;RE
ROU;RO
RUS;RS
RWA;RW
SHN;SH
KNA;SC
LCA;ST
SPM;SB
VCT;VC
WSM;WS
SMR;SM
STP;TP
SAU;SA
SEN;SG
SRB;RI
SYC;SE
SLE;SL
SGP;SN
SVK;LO
SVN;SI
SLB;BP
SOM;SO
ZAF;SF
SGS;SX
SSD;OD
ESP;SP
LKA;CE
SDN;SU
SUR;NS
SJM;SV
SWZ;WZ
SWE;SW
CHE;SZ
SYR;SY
TWN;TW
TJK;TI
TZA;TZ
THA;TH
TLS;TT
TGO;TO
TKL;TL
TON;TN
TTO;TD
TUN;TS
TUR;TU
TKM;TX
TCA;TK
TUV;TV
UGA;UG
UKR;UP
ARE;AE
GBR;UK
USA;US
URY;UY
UZB;UZ
VUT;NH
VAT;VT
VEN;VE
VNM;VM
VGB;VI
VIR;VQ
WLF;WF
ESH;WI
YEM;YM
ZMB;ZA
ZWE;ZI
